t,count
1504514344,562
1504514345,694
1504514346,826
1504514352,995
1504514353,1008
1504514353,1044
1504514354,1149
1504514354,1216
1504514355,1305
1504514355,1412
1504514356,1507
1504514357,1617
1504514358,1722
1504514358,1730
1504514358,1783
1504514362,1886
1504514385,1957
1504514385,2033
1504514385,2111
1504514385,2189
1504514385,2265
1504514385,2349
1504514385,2433
1504514385,2511
1504514385,2584
1504514385,2651
1504514385,2707
1504514385,2769
1504514385,2830
1504514385,2884
1504514385,2942
1504514713,0
1504514714,0
1504514726,0
1504514726,0
1504514726,0
1504514726,0
1504514726,0
1504514726,0
1504514726,0
1504514726,0
1504514747,0
1504514748,0
1504514758,0
1504514758,0
1504514758,0
1504514758,0
1504514758,0
1504514758,0
1504514758,0
1504514758,0
1504514758,0
1504524612,0
1504524613,0
1504524614,0
1504524615,70
1504524616,202
1504524617,334
1504524618,467
1504524619,598
1504524620,730
1504524621,863
1504524622,995
1504524623,1128
1504524624,1259
1504529645,0
1504529646,0
1504529647,0
1504529648,80
1504529649,212
1504529650,344
1504529651,476
1504529652,608
1504529653,740
1504529654,872
1504529655,1004
1504529656,1136
1504529733,0
1504529734,0
1504529735,0
1504529736,46
1504529737,178
1504529738,310
1504529739,442
1504529740,574
1504529741,707
1504529742,838
1504529743,979
1504529747,998
1504529747,1043
1504529748,1151
1504529748,1196
1504529749,1265
1504529749,1348
1504529750,1422
1504529756,1512
1504529793,1575
1504529793,1638
1504529793,1683
1504529793,1744
1504529793,1829
1504529793,1899
1504529793,1970
1504529793,2030
1504529793,2095
1504529793,2149
1504529793,2215
1504529801,0
1504529802,0
1504529803,0
1504529804,49
1504529805,181
1504529806,313
1504529807,445
1504529808,577
1504529809,711
1504529810,841
1504529815,996
1504529816,1018
1504529816,1080
1504529817,1202
1504529817,1210
1504529820,1323
1504529821,1430
1504529827,1537
1504529827,1645
1504529827,1731
1504529827,1734
1504529827,1735
1504529827,1737
1504529827,1738
1504529827,1740
1504529827,1740
1504529827,1798
1504529833,1870
1504529843,1946
1504529843,2003
1504529843,2067
1504529843,2140
1504529843,2218
1504529843,2308
1504529843,2396
1504529843,2478
1504529843,2569
1504529843,2619
1504529843,2619
1504529843,2620
1504529843,2620
1504529850,0
1504529851,0
1504529852,0
1504529853,52
1504529854,184
1504529855,316
1504529856,448
1504529857,580
1504529858,712
1504529859,844
1504529864,978
1504529864,1034
1504529865,1061
1504529865,1165
1504529865,1214
1504529866,1275
1504529866,1368
1504529870,1453
1504529870,1537
1504529870,1577
1504529870,1579
1504529873,1720
1504529873,1829
1504529873,1846
1504529887,1893
1504529887,1983
1504529887,2079
1504529887,2171
1504529887,2254
1504529887,2325
1504529887,2375
1504529887,2423
1504529887,2464
1504529887,2499
1504529887,2528
1504529887,2576
1504529887,2631
1504529887,2693
1504529890,2851
1504529892,2956
1504529900,3048
1504529963,3182
1504529974,3291
1504529974,3351
1504529974,3448
1504530002,3594
1504530003,3732
1504530015,3865
1504530017,3987
1504530020,4088
1504530020,4191
1504530020,4275
1504530021,4371
1504530027,4508
1504530151,4597
1504530151,4665
1504530151,4731
1504530151,4790
1504530151,4849
1504530151,4905
1504530151,5023
1504530151,5122
1504530151,5235
1504530151,5345
1504530151,5448
1504530151,5545
1504530151,5649
1504530151,5732
1504530151,5809
1504530151,5880
1504530151,5959
1504530151,6029
1504530151,6108
1504530151,6201
1504530272,0
1504530273,0
1504530274,0
1504530275,57
1504530276,189
