t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504495713,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495714,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495715,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495716,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495717,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495718,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495719,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495720,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495721,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495722,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495723,11,21288034,1935275.818182,0,6418583.754757,0.000000,0.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495724,12,21288034,3548005.666667,0,8286355.996137,0.000000,0.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495725,13,21288034,4912623.230769,0,9335420.467490,0.000000,10644017.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495726,14,21288034,6082295.428571,0,9979984.271665,0.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495727,15,21288034,7096011.333333,0,10387496.966765,0.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495728,16,21288034,7983012.750000,0,10644017.000000,0.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495729,17,21288034,8765661.058824,0,10799412.329286,0.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495730,18,21288034,9461348.444444,0,10884784.506262,0.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495731,19,21288034,10083805.578947,0,10920531.021226,0.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495732,20,21288034,10644017.000000,0,10920531.021226,10644017.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495733,21,21288034,11150874.952381,0,10894498.729084,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495734,22,21288034,11611654.909091,0,10849386.739329,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495735,23,21288034,12032367.043478,0,10790261.575775,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495736,24,21288034,12418019.833333,0,10720870.106331,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000,21288034.000000
1504495800,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495801,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495802,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495803,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495804,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495805,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495806,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495807,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495808,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495809,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495810,11,20222379,1838398.090909,0,6097276.682851,0.000000,0.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504495811,12,20222379,3370396.500000,0,7871550.349967,0.000000,0.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504495812,13,20222379,4666702.846154,0,8868099.835708,0.000000,10111189.500000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504495813,14,20222379,5777822.571429,0,9480397.501979,0.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504495814,15,20222379,6740793.000000,0,9867510.570646,0.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504495815,16,20222379,7583392.125000,0,10111189.500000,0.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504495816,17,20222379,8326861.941176,0,10258805.914163,0.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504495817,18,20222379,8987724.000000,0,10339904.456135,0.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
