t,count
1493868222,14
1493868223,19
1493868224,24
1493868225,28
1493868226,32
1493868227,36
1493868228,40
1493868229,44
1493868230,48
1493868231,52
1493868232,56
1493868233,62
1493868234,66
1493868235,70
1493868236,74
1493868237,78
1493868238,82
1493868239,86
1493868240,90
1493868241,94
1493868242,98
1493868243,102
1493868244,106
1493868245,110
1493868246,116
1493868998,0
1493868999,0
1493869000,3
1493869001,3
1493869002,5
1493869003,6
1493869004,9
1493869005,10
1493869006,11
1493869007,12
1493869008,13
1493869009,14
1493869010,15
1493869011,16
1493869012,17
1493869013,18
1493869014,21
1493869015,22
1493869016,23
1493869017,24
1493869018,25
1493869019,26
1493869020,27
1493869021,28
1493869022,29
1493869023,30
1493869024,31
1493869025,32
1493869026,33
1493869027,34
1493869028,35
1493869029,36
1493869030,37
1493869031,38
1493875897,0
1493875898,0
1493875899,3
1493875900,3
1493875901,4
1493875902,5
1493875903,8
1493875904,9
1493875905,10
1493875906,11
1493875907,12
1493875908,13
1493875909,14
1493875910,15
1493875911,16
1493875912,19
1493875913,20
1493875914,21
1493875915,22
1493875916,23
1493875917,24
1493875918,25
1493875919,26
1493875920,27
1493875921,28
1493875922,29
1493875923,30
1493875924,31
1493875925,32
1493875926,33
1493875927,34
1493875928,35
1493875929,36
1493876043,0
1493876044,0
1493876045,3
1493876046,3
1493876047,4
1493876048,5
1493876049,8
1493876050,9
1493876051,10
1493876052,11
1493876053,12
1493876054,13
1493876055,14
1493876056,15
1493876057,16
1493876058,17
1493876059,18
1493876060,19
1493876061,20
1493876062,21
1493876063,22
1493876064,23
1493876065,24
1493876066,25
1493876067,26
1493876068,27
1493876069,28
1493876070,29
1493876071,30
1493876072,31
1493876073,34
1493876074,35
1493876075,36
1493876076,37
1493876077,38
1493876078,39
1493876079,40
1493876080,41
1493876081,42
1493876082,43
1493876083,44
1493876084,45
1493876085,46
1493876086,47
1493876087,48
1493876088,49
1493876089,50
1493876090,51
1493876091,52
1493876092,53
1493876093,54
1493876094,55
1493876095,56
1493876126,0
1493876127,0
1493876128,3
1493876129,4
1493876130,5
1493876131,6
1493876132,9
1493876133,10
1493876134,11
1493876135,12
1493876136,13
1493876137,14
1493876138,15
1493876139,16
1493876140,17
1493876141,18
1493876142,19
1493876143,20
1493876144,21
1493876145,22
1493876146,23
1493876147,24
1493876148,25
1493876149,26
1493876150,27
1493876151,28
1493876152,29
1493876153,30
1493876154,31
1493876155,32
1493876156,33
1493876157,36
1493876158,37
1493876159,38
1493876160,39
1493876161,40
1493876162,41
1493876163,42
1493876164,43
1493876165,44
1493876166,45
1493876167,46
1493876168,47
1493876169,48
1493876170,49
1493876171,50
1493876172,51
1493876173,52
1493876174,53
1493876175,54
1493876176,55
1493876177,56
1493876178,57
1493876179,58
1493876180,59
1493876181,60
1493876182,61
1493876183,62
1493876184,63
1493876185,64
1493876186,65
1493876187,66
1493876188,67
1493876189,68
1493876190,69
1493876191,70
1493876192,71
1493876193,72
1493876194,73
1493876195,74
1493876196,75
1493876197,76
1493876198,77
1493876199,78
1493876200,79
1493876201,80
1493876202,81
1493876203,82
1493876204,83
1493876205,84
1493876206,85
1493876207,86
1493876208,87
1493876209,88
1493876210,89
1493876211,90
1493876212,91
1493876213,92
1493876214,93
1493876215,94
1493876216,95
1493876217,96
1493876218,97
1493876219,98
1493876220,99
1493876221,100
1493876222,101
1493876223,102
1493876224,103
1493876225,104
1493876226,105
1493876227,106
1493876228,107
1493876339,0
1493876340,0
1493876341,3
1493876342,3
1493876343,4
1493876344,5
1493876345,8
1493876346,9
1493876347,10
1493876348,11
1493876349,12
1493876350,13
1493876351,14
1493876352,15
1493876353,16
1493876354,17
1493876355,18
1493876356,19
1493876357,20
1493876358,21
1493876359,22
1493876360,23
1493876361,24
1493876362,25
1493876363,26
1493876364,27
1493876365,28
1493876366,29
1493876367,30
1493876368,31
1493876369,34
1493876370,35
1493876371,36
1493876372,37
1493876373,38
1493876374,39
1493876375,40
1493876376,41
1493876377,42
1493876378,43
1493876379,44
1493876380,45
1493876381,46
1493876382,47
1493876383,48
1493876384,49
1493876385,50
1493876386,51
1493876387,52
1493876388,53
1493876389,54
1493876390,55
1493876391,56
1493876392,57
1493876393,58
1493876394,59
1493876395,60
1493876396,61
1493876397,62
1493876398,63
1493876399,64
1493876400,65
1493876401,66
1493876402,67
1493876403,68
1493876404,69
1493876405,70
1493876406,71
1493876407,72
1493876408,73
1493876409,74
1493876410,75
1493876411,76
1493876412,77
1493876413,78
1493876414,79
1493876415,80
1493876416,81
1493876417,82
1493876418,83
1493876419,84
1493876420,85
1493876421,86
1493876422,87
1493876423,88
1493876424,89
1493876425,90
1493876426,91
1493876427,92
1493876428,93
1493876429,94
1493876430,95
1493876431,96
1493876432,97
1493876433,98
1493876434,99
1493876435,100
1493876754,0
1493876755,0
1493876756,3
1493876757,3
1493876758,4
1493876759,5
1493876760,8
1493876761,9
1493876762,10
1493876763,11
1493876764,12
1493876765,13
1493876766,14
1493876767,15
1493876768,16
1493876769,17
1493876770,18
1493876771,19
1493876772,20
1493876773,21
1493876774,22
1493876775,23
1493876776,24
1493876777,25
1493876778,26
1493876779,27
1493876780,28
1493876781,29
1493876782,30
1493876783,31
1493876784,34
1493876785,35
1493876786,36
1493876787,37
1493876788,38
1493876789,39
1493876790,40
1493876791,41
1493876792,42
1493876793,43
1493876794,44
1493876795,45
1493876796,46
1493876797,47
1493876798,48
1493876799,49
1493876800,50
1493876801,51
1493876802,52
1493876803,53
1493876804,54
1493876805,55
1493876806,56
1493876807,57
1493876808,58
1493876809,59
1493876810,60
1493876811,61
1493876812,62
1493876813,63
1493876814,64
1493876815,65
1493876816,66
1493876817,67
1493876818,68
1493876819,69
1493876820,70
1493876821,71
1493876822,72
1493876823,73
1493876824,74
1493876825,75
1493876826,76
1493876827,77
1493876828,78
1493876829,79
1493876830,80
1493876831,81
1493876832,82
1493876833,83
1493876834,84
1493876835,85
1493876836,86
1493876837,87
1493876838,88
1493876839,89
