t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504495713,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495714,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495715,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495716,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495717,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495718,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495719,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495720,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495721,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495722,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495723,11,26663874,2423988.545455,0,8039460.501392,0.000000,0.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495724,12,26663874,4443979.000000,0,10378898.878128,0.000000,0.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495725,13,26663874,6153201.692308,0,11692882.258746,0.000000,13331937.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495726,14,26663874,7618249.714286,0,12500216.936033,0.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495727,15,26663874,8887958.000000,0,13010638.290845,0.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495728,16,26663874,9998952.750000,0,13331937.000000,0.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495729,17,26663874,10979242.235294,0,13526574.113051,0.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495730,18,26663874,11850610.666667,0,13633505.216692,0.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495731,19,26663874,12630256.105263,0,13678278.753363,0.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495732,20,26663874,13331937.000000,0,13678278.753363,13331937.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495733,21,26663874,13966791.142857,0,13645672.559780,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495734,22,26663874,14543931.272727,0,13589168.496947,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495735,23,26663874,15070885.304348,0,13515112.531459,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495736,24,26663874,15553926.500000,0,13428197.722982,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000,26663874.000000
1504495800,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495801,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495802,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495803,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495804,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495805,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495806,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495807,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495808,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495809,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495810,11,26760815,2432801.363636,0,8068689.312647,0.000000,0.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504495811,12,26760815,4460135.833333,0,10416633.111201,0.000000,0.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504495812,13,26760815,6175572.692308,0,11735393.699471,0.000000,13380407.500000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504495813,14,26760815,7645947.142857,0,12545663.577807,0.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504495814,15,26760815,8920271.666667,0,13057940.655331,0.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504495815,16,26760815,10035305.625000,0,13380407.500000,0.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504495816,17,26760815,11019159.117647,0,13575752.249022,0.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504495817,18,26760815,11893695.555556,0,13683072.118681,0.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
