t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504495713,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495714,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495715,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495716,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495717,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495718,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495719,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495720,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495721,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495722,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495723,11,1388467,126224.272727,0,418638.552072,0.000000,0.000000,1388467.000000,1388467.000000,1388467.000000,1388467.000000
1504495724,12,16318433,1475575.000000,0,4691299.851060,0.000000,0.000000,16318433.000000,16318433.000000,16318433.000000,16318433.000000
1504495725,13,16318433,2205206.692308,0,5205283.954947,0.000000,694233.500000,16318433.000000,16318433.000000,16318433.000000,16318433.000000
1504495726,14,16318433,2716193.428571,0,5354087.780835,0.000000,3381105.500000,16318433.000000,16318433.000000,16318433.000000,16318433.000000
1504495727,15,16318433,3034977.800000,0,5304999.376543,0.000000,7497959.000000,16318433.000000,16318433.000000,16318433.000000,16318433.000000
1504495728,16,16318433,3236340.000000,0,5188021.292253,0.000000,7187662.500000,16318433.000000,16318433.000000,16318433.000000,16318433.000000
1504495729,17,16318433,3362022.117647,0,5049938.022456,0.000000,6877366.000000,16318433.000000,16318433.000000,16318433.000000,16318433.000000
1504495730,18,16318433,3436791.277778,0,4909418.650418,0.000000,6567069.500000,16318433.000000,16318433.000000,16318433.000000,16318433.000000
1504495731,19,16318433,3476504.105263,0,4774236.567303,0.000000,6256773.000000,16318433.000000,16318433.000000,16318433.000000,16318433.000000
1504495732,20,16318433,3491559.650000,0,4647388.405232,694233.500000,6035813.750000,16050550.700000,16318433.000000,16318433.000000,16318433.000000
1504495733,21,16318433,3489069.904762,0,4529728.271662,1388467.000000,5814854.500000,15782668.400000,16318433.000000,16318433.000000,16318433.000000
1504495734,22,16318433,3473974.954545,0,4421129.108513,2272724.000000,5593895.250000,15514786.100000,16318433.000000,16318433.000000,16318433.000000
1504495735,23,16318433,3449811.217391,0,4321034.603019,2918209.000000,5372936.000000,15246903.800000,16318433.000000,16318433.000000,16318433.000000
1504495736,24,16318433,3419135.833333,0,4228726.303264,2815905.500000,5206668.750000,14979021.500000,16318433.000000,16318433.000000,16318433.000000
1504495800,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495801,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495802,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495803,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495804,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495805,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495806,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495807,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495808,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495809,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495810,11,1448322,131665.636364,0,436685.513602,0.000000,0.000000,1448322.000000,1448322.000000,1448322.000000,1448322.000000
1504495811,12,15918236,1447213.166667,0,4576171.112604,0.000000,0.000000,15918236.000000,15918236.000000,15918236.000000,15918236.000000
1504495812,13,15918236,2158283.384615,0,5076347.242582,0.000000,724161.000000,15918236.000000,15918236.000000,15918236.000000,15918236.000000
1504495813,14,15918236,2672135.428571,0,5242486.271046,0.000000,3424294.500000,15918236.000000,15918236.000000,15918236.000000,15918236.000000
1504495814,15,15918236,2993488.200000,0,5202841.302771,0.000000,7492427.000000,15918236.000000,15918236.000000,15918236.000000,15918236.000000
1504495815,16,15918236,3197189.562500,0,5092035.778388,0.000000,7182497.750000,15918236.000000,15918236.000000,15918236.000000,15918236.000000
1504495816,17,15918236,3324823.647059,0,4958347.951441,0.000000,6872568.500000,15918236.000000,15918236.000000,15918236.000000,15918236.000000
1504495817,18,15918236,3401352.833333,0,4821249.445848,0.000000,6562639.250000,15918236.000000,15918236.000000,15918236.000000,15918236.000000
